,Country,Year,Other renewables (including geothermal and biomass) electricity generation - TWh,Solar generation - TWh,Wind generation - TWh,Hydro generation - TWh
0,Albania,2019,0.0,0.0,0.0,0.0
1,Albania,2020,0.0,0.0,0.0,0.0
2,Albania,2021,0.0,0.0,0.0,0.0
3,Albania,2022,0.0,0.0,0.0,0.0
4,Albania,2023,0.0,0.0,0.0,0.0
9,Andorra,2023,0.0,0.0,0.0,0.0
7,Andorra,2021,0.0,0.0,0.0,0.0
8,Andorra,2022,0.0,0.0,0.0,0.0
5,Andorra,2019,0.0,0.0,0.0,0.0
6,Andorra,2020,0.0,0.0,0.0,0.0
10,Armenia,2019,0.0,0.0,0.0,0.0
11,Armenia,2020,0.0,0.0,0.0,0.0
12,Armenia,2021,0.0,0.0,0.0,0.0
13,Armenia,2022,0.0,0.0,0.0,0.0
14,Armenia,2023,0.0,0.0,0.0,0.0
19,Austria,2023,4.558223,5.1640363,8.0375595,38.855656
18,Austria,2022,4.7004566,3.7917044,7.245134,33.97806
15,Austria,2019,4.6682663,1.702093,7.4500766,40.82597
16,Austria,2020,4.6011376,2.042934,6.7915306,41.99803
17,Austria,2021,4.4915257,2.7826018,6.7400417,38.75133
20,Azerbaijan,2019,0.09795,0.0442,0.1054,1.5648
21,Azerbaijan,2020,0.1003,0.047,0.0961,1.0695
22,Azerbaijan,2021,0.0966,0.0552,0.0914,1.2773
23,Azerbaijan,2022,0.10265,0.0609,0.0833,1.5957
24,Azerbaijan,2023,0.1115,0.0794,0.0566,1.7634
25,Belarus,2019,0.11,0.179,0.166,0.351
26,Belarus,2020,0.268,0.17,0.185,0.4
27,Belarus,2021,0.5439,0.1738,0.168,0.371
28,Belarus,2022,0.5208,0.2087,0.1747112,0.37
29,Belarus,2023,0.5075,0.1533,0.17174067,0.3
34,Belgium,2023,3.4755101,7.3287697,15.676437,0.39227447
33,Belgium,2022,4.9358,6.876,12.3526,0.2711
30,Belgium,2019,5.1736,4.2525,9.7554,0.302
31,Belgium,2020,5.2686,5.1122,12.8186,0.2669
32,Belgium,2021,4.6909,5.6181,11.9976,0.4181
35,Bosnia and Herzegovina,2019,0.0,0.0,0.0,0.0
36,Bosnia and Herzegovina,2020,0.0,0.0,0.0,0.0
37,Bosnia and Herzegovina,2021,0.0,0.0,0.0,0.0
38,Bosnia and Herzegovina,2022,0.0,0.0,0.0,0.0
39,Bosnia and Herzegovina,2023,0.0,0.0,0.0,0.0
40,Bulgaria,2019,1.820811,1.417286,1.316988,2.929499
41,Bulgaria,2020,1.699341,1.46872,1.477131,2.820398
42,Bulgaria,2021,2.588892,1.466598,1.433561,4.819205
43,Bulgaria,2022,2.243594,2.093838,1.499125,3.803279
44,Bulgaria,2023,1.8885072,3.4297245,1.5839481,3.1302676
49,Croatia,2023,1.0625012,0.37693232,2.3494534,8.17058
48,Croatia,2022,1.2015,0.1519,2.1378,5.4597
47,Croatia,2021,1.1895,0.1489,2.0618,7.1277
45,Croatia,2019,0.9703,0.0831,1.4673,5.8261
46,Croatia,2020,1.072,0.0955,1.7207,5.6624
50,Cyprus,2019,0.05792,0.218267,0.238565,0.0
51,Cyprus,2020,0.060632,0.295608,0.240408,0.0
52,Cyprus,2021,0.05994,0.468338,0.246478,0.0
53,Cyprus,2022,0.05784,0.601859,0.224266,0.0
54,Cyprus,2023,0.0492176,0.82589877,0.20847693,0.0
55,Czechia,2019,5.030655,2.2877533,0.70003396,2.0086746
56,Czechia,2020,5.212986,2.2372687,0.6990835,2.1442552
57,Czechia,2021,5.3839655,2.1522183,0.6015541,2.4102345
58,Czechia,2022,5.404244,2.298348,0.6413305,2.0934653
59,Czechia,2023,5.1635184,2.1920664,0.70141083,2.342997
64,Denmark,2023,6.6870804,3.4771225,19.394854,0.01968496
62,Denmark,2021,8.718286,1.308929,16.054466,0.016294
63,Denmark,2022,7.273136,2.202567,19.027824,0.014944
60,Denmark,2019,5.943146,0.9632695,16.149834,0.016955
61,Denmark,2020,5.919057,1.180532,16.330214,0.017064
65,Estonia,2019,1.363,0.0735,0.687,0.019
66,Estonia,2020,1.8515,0.245,0.844,0.03
67,Estonia,2021,1.7585,0.354,0.731,0.021
68,Estonia,2022,1.596,0.596,0.668,0.023
69,Estonia,2023,1.4219745,0.7319015,0.69578224,0.02656338
70,Finland,2019,13.292058,0.147182,6.024746,12.420475
71,Finland,2020,11.569852,0.218471,8.255676,15.883341
72,Finland,2021,13.579126,0.297518,8.506734,15.791129
73,Finland,2022,12.760534,0.392342,12.021954,13.49176
74,Finland,2023,10.981029,0.6652308,15.036281,15.1728
77,France,2021,9.23665,14.880584,36.979103,58.653072
79,France,2023,9.705619,22.24763,52.311317,55.522423
78,France,2022,9.733451,19.144035,37.90229,44.27017
76,France,2020,8.812484,12.716188,39.930534,61.703796
75,France,2019,8.778017,11.647888,34.615356,56.027714
80,Georgia,2019,0.0,0.0,0.0,0.0
81,Georgia,2020,0.0,0.0,0.0,0.0
82,Georgia,2021,0.0,0.0,0.0,0.0
83,Georgia,2022,0.0,0.0,0.0,0.0
84,Georgia,2023,0.0,0.0,0.0,0.0
85,Germany,2019,50.32362,45.221,125.894,19.731
86,Germany,2020,51.16132,49.496,132.102,18.322
87,Germany,2021,50.304493,49.34,114.647,19.657415
88,Germany,2022,51.902596,60.304,124.816,17.624172
89,Germany,2023,49.491,61.216,142.103,19.639
94,Greece,2023,0.70195657,8.499509,11.013724,3.9471161
92,Greece,2021,0.499205,5.250978,10.482981,5.903439
93,Greece,2022,0.56961,7.139715,10.88325,3.855192
90,Greece,2019,0.402027,4.42851,7.266347,3.999598
91,Greece,2020,0.453554,4.446854,9.310104,3.343687
95,Hungary,2019,2.245,1.497,0.729,0.219
96,Hungary,2020,2.171,2.459,0.655,0.244
97,Hungary,2021,2.243,3.796,0.664,0.212
98,Hungary,2022,2.142,4.732,0.61,0.178
99,Hungary,2023,1.513376,6.536622,0.644333,0.221913
100,Iceland,2019,6.0181384,0.0,0.006569191,13.461466
101,Iceland,2020,5.9606023,0.0,0.0066603,13.156972
102,Iceland,2021,5.8016,0.0,0.006087,13.804
103,Iceland,2022,5.916097,1.907e-06,0.005724646,14.19564
104,Iceland,2023,6.0059342,9.045e-06,0.007227569,14.220852
108,Ireland,2022,1.013339,0.148296,11.208432,0.701202
109,Ireland,2023,0.93994325,0.41515556,11.58884,0.9337281
106,Ireland,2020,0.923773,0.053171,11.54942,0.932655
105,Ireland,2019,0.854785,0.033261,10.019485,0.886584
107,Ireland,2021,0.994948,0.079417,9.778381,0.74942
110,Italy,2019,25.6375,23.6889,20.202,46.3565
111,Italy,2020,25.6599,24.9415,18.7616,47.633823
112,Italy,2021,24.9846,25.039,20.9273,45.3882
113,Italy,2022,23.4528,28.1215,20.4942,28.3976
114,Italy,2023,20.31028,31.227398,23.530378,38.923424
119,Kazakhstan,2023,0.004500698,1.9576029,3.6528068,8.79351
115,Kazakhstan,2019,0.0049671,0.3912209,0.7071334,9.993659
116,Kazakhstan,2020,0.0065268,1.2374698,1.0286614,9.659646
117,Kazakhstan,2021,0.0025643,1.6290694,1.7466646,9.208468
118,Kazakhstan,2022,0.0029497,1.772458,2.31184,9.201194
122,Kosovo,2021,0.0,0.0,0.0,0.0
123,Kosovo,2022,0.0,0.0,0.0,0.0
120,Kosovo,2019,0.0,0.0,0.0,0.0
121,Kosovo,2020,0.0,0.0,0.0,0.0
124,Kosovo,2023,0.0,0.0,0.0,0.0
129,Latvia,2023,0.6248085,0.047,0.26725715,3.7998652
128,Latvia,2022,0.801348,0.041276,0.190183,2.749823
127,Latvia,2021,0.861794,0.006797,0.141436,2.707796
126,Latvia,2020,0.864798,0.004847,0.176842,2.603042
125,Latvia,2019,0.92742,0.003137,0.153999,2.107554
130,Liechtenstein,2019,0.0,0.0,0.0,0.0
131,Liechtenstein,2020,0.0,0.0,0.0,0.0
132,Liechtenstein,2021,0.0,0.0,0.0,0.0
133,Liechtenstein,2022,0.0,0.0,0.0,0.0
134,Liechtenstein,2023,0.0,0.0,0.0,0.0
135,Lithuania,2019,0.5332,0.0911,1.4994,0.3454
136,Lithuania,2020,0.5941,0.1288,1.5517,0.3005
137,Lithuania,2021,0.6855,0.1908,1.3617,0.3837
138,Lithuania,2022,0.7082,0.3422,1.5124,0.4644
139,Lithuania,2023,0.48303708,0.35837075,2.5069654,0.4502828
144,Luxembourg,2023,0.20457387,0.30186948,0.46486813,0.09033209
